timp(ms),P(KW),,,
5859,0.2267578,01/07/2024,11:29:50,AM
5870,0.2267578,01/07/2024,11:29:50,AM
5881,0.2267578,01/07/2024,11:29:50,AM
5895,0.2267578,01/07/2024,11:29:50,AM
5905,0.2267578,01/07/2024,11:29:50,AM
5916,0.2267578,01/07/2024,11:29:50,AM
5928,0.2267578,01/07/2024,11:29:50,AM
5938,0.2267578,01/07/2024,11:29:50,AM
5950,0.2267578,01/07/2024,11:29:50,AM
5960,0.2267578,01/07/2024,11:29:50,AM
5975,0.2267578,01/07/2024,11:29:50,AM
5985,0.2267578,01/07/2024,11:29:50,AM
5996,0.2267578,01/07/2024,11:29:50,AM
6007,0.2267578,01/07/2024,11:29:50,AM
6018,0.2267578,01/07/2024,11:29:50,AM
6029,0.2267578,01/07/2024,11:29:50,AM
6040,0.2267578,01/07/2024,11:29:50,AM
6100,0.2267578,01/07/2024,11:29:50,AM
6114,0.2267578,01/07/2024,11:29:50,AM
6125,0.2267578,01/07/2024,11:29:50,AM
6136,0.2267578,01/07/2024,11:29:50,AM
6146,0.2267578,01/07/2024,11:29:50,AM
6157,0.2267578,01/07/2024,11:29:50,AM
6168,0.2267578,01/07/2024,11:29:50,AM
6180,0.2267578,01/07/2024,11:29:50,AM
6194,0.2267578,01/07/2024,11:29:50,AM
6204,0.2267578,01/07/2024,11:29:50,AM
6215,0.2267578,01/07/2024,11:29:50,AM
6226,0.2267578,01/07/2024,11:29:50,AM
6238,0.226241,01/07/2024,11:29:50,AM
6249,0.226241,01/07/2024,11:29:50,AM
6261,0.226241,01/07/2024,11:29:50,AM
6275,0.226241,01/07/2024,11:29:50,AM
6285,0.226241,01/07/2024,11:29:50,AM
6298,0.226241,01/07/2024,11:29:50,AM
6309,0.226241,01/07/2024,11:29:50,AM
6320,0.226241,01/07/2024,11:29:50,AM
6335,0.226241,01/07/2024,11:29:50,AM
6345,0.226241,01/07/2024,11:29:50,AM
6356,0.226241,01/07/2024,11:29:50,AM
6368,0.226241,01/07/2024,11:29:50,AM
6378,0.226241,01/07/2024,11:29:50,AM
6390,0.226241,01/07/2024,11:29:50,AM
6400,0.226241,01/07/2024,11:29:50,AM
6415,0.226241,01/07/2024,11:29:50,AM
6425,0.226241,01/07/2024,11:29:50,AM
6436,0.226241,01/07/2024,11:29:50,AM
6447,0.226241,01/07/2024,11:29:50,AM
6458,0.226241,01/07/2024,11:29:50,AM
6469,0.226241,01/07/2024,11:29:50,AM
6481,0.226241,01/07/2024,11:29:50,AM
6495,0.226241,01/07/2024,11:29:50,AM
6505,0.226241,01/07/2024,11:29:50,AM
6516,0.226241,01/07/2024,11:29:50,AM
6527,0.226241,01/07/2024,11:29:50,AM
6538,0.226241,01/07/2024,11:29:50,AM
6549,0.226241,01/07/2024,11:29:50,AM
6561,0.226241,01/07/2024,11:29:50,AM
6575,0.226241,01/07/2024,11:29:50,AM
6585,0.226241,01/07/2024,11:29:50,AM
6596,0.226241,01/07/2024,11:29:50,AM
6608,0.226241,01/07/2024,11:29:50,AM
6619,0.226241,01/07/2024,11:29:50,AM
6630,0.226241,01/07/2024,11:29:50,AM
6640,0.226241,01/07/2024,11:29:50,AM
6655,0.226241,01/07/2024,11:29:50,AM
6665,0.226241,01/07/2024,11:29:50,AM
6676,0.226241,01/07/2024,11:29:50,AM
6688,0.226241,01/07/2024,11:29:51,AM
6699,0.226241,01/07/2024,11:29:51,AM
6709,0.226241,01/07/2024,11:29:51,AM
6720,0.226241,01/07/2024,11:29:51,AM
6735,0.226241,01/07/2024,11:29:51,AM
6747,0.226241,01/07/2024,11:29:51,AM
6756,0.226241,01/07/2024,11:29:51,AM
6767,0.226241,01/07/2024,11:29:51,AM
6779,0.226241,01/07/2024,11:29:51,AM
6790,0.226241,01/07/2024,11:29:51,AM
6800,0.226241,01/07/2024,11:29:51,AM
6815,0.226241,01/07/2024,11:29:51,AM
6825,0.226241,01/07/2024,11:29:51,AM
6837,0.226241,01/07/2024,11:29:51,AM
6848,0.226241,01/07/2024,11:29:51,AM
6858,0.226241,01/07/2024,11:29:51,AM
6869,0.226241,01/07/2024,11:29:51,AM
6880,0.226241,01/07/2024,11:29:51,AM
6894,0.226241,01/07/2024,11:29:51,AM
6905,0.226241,01/07/2024,11:29:51,AM
6916,0.226241,01/07/2024,11:29:51,AM
6927,0.226241,01/07/2024,11:29:51,AM
6939,0.226241,01/07/2024,11:29:51,AM
6949,0.226241,01/07/2024,11:29:51,AM
6960,0.226241,01/07/2024,11:29:51,AM
6975,0.226241,01/07/2024,11:29:51,AM
6985,0.226241,01/07/2024,11:29:51,AM
6996,0.226241,01/07/2024,11:29:51,AM
7007,0.226241,01/07/2024,11:29:51,AM
7019,0.226241,01/07/2024,11:29:51,AM
7030,0.226241,01/07/2024,11:29:51,AM
7041,0.226241,01/07/2024,11:29:51,AM
7055,0.226241,01/07/2024,11:29:51,AM
7065,0.226241,01/07/2024,11:29:51,AM
7076,0.226241,01/07/2024,11:29:51,AM
7087,0.226241,01/07/2024,11:29:51,AM
7099,0.226241,01/07/2024,11:29:51,AM
7150,0.226241,01/07/2024,11:29:51,AM
7160,0.226241,01/07/2024,11:29:51,AM
7175,0.226241,01/07/2024,11:29:51,AM
7185,0.226241,01/07/2024,11:29:51,AM
7196,0.226241,01/07/2024,11:29:51,AM
7208,0.226241,01/07/2024,11:29:51,AM
7219,0.226241,01/07/2024,11:29:51,AM
7230,0.226241,01/07/2024,11:29:51,AM
7240,0.2262658,01/07/2024,11:29:51,AM
7255,0.2262658,01/07/2024,11:29:51,AM
7266,0.2262658,01/07/2024,11:29:51,AM
7276,0.2262658,01/07/2024,11:29:51,AM
7287,0.2262658,01/07/2024,11:29:51,AM
7300,0.2262658,01/07/2024,11:29:51,AM
7314,0.2262658,01/07/2024,11:29:51,AM
7325,0.2262658,01/07/2024,11:29:51,AM
7336,0.2262658,01/07/2024,11:29:51,AM
7346,0.2262658,01/07/2024,11:29:51,AM
7358,0.2262658,01/07/2024,11:29:51,AM
7369,0.2262658,01/07/2024,11:29:51,AM
7380,0.2262658,01/07/2024,11:29:51,AM
7394,0.2262658,01/07/2024,11:29:51,AM
7404,0.2262658,01/07/2024,11:29:51,AM
7415,0.2262658,01/07/2024,11:29:51,AM
7426,0.2262658,01/07/2024,11:29:51,AM
7438,0.2262658,01/07/2024,11:29:51,AM
7448,0.2262658,01/07/2024,11:29:51,AM
7459,0.2262658,01/07/2024,11:29:51,AM
7474,0.2262658,01/07/2024,11:29:51,AM
7485,0.2262658,01/07/2024,11:29:51,AM
7496,0.2262658,01/07/2024,11:29:51,AM
7506,0.2262658,01/07/2024,11:29:51,AM
7517,0.2262658,01/07/2024,11:29:51,AM
7529,0.2262658,01/07/2024,11:29:51,AM
